de	en
Guten Tag, wie geht es dir?	Good day, how are you?
Hallo, Ich heiße Jürgen.	Hello, I am called Jurgen.
Guten Tag, wie heißen Sie?	Good day, how are you called?
Guten Tag, woher kommen Sie?	Good day, where are you from?
Hallo, Ich komme aus Deutschland.	Hello, I come from Germany.
Ich komme aus Brasilien.	I come from Brazil.
Hallo freunde, wir kommen aus Deutschland.	Hello friends, we come from Germany.
Guten Tag, ich buchstabiere Johan.	Good day, I spell Johan.
Ich komme auch aus Brasilien.	I also come from Brazil.
Kannst du das bitte buchstabieren?	Can you please spell that?
Ich buchstabiere Tisch.	I spell table.
Guten Morgen, wie geht es Ihnen?	Good morning, how are you?
Wie ist deine Telefonnummer?	What is your telephone number?
Wie ist deine E-Mail-Adresse?	What is your Email address?
Meine Telefonnummer und E-Mail-Adresse? Keine Ahnung!	My telephone number and Email address? No idea!
Wie ist deine Handynummer?	What is your phone number?
Wo ist die Stadt?	Where is the city?
Wo ist Berlin?	Where is Berlin?
Wie ist die Handynummer von Paula?	What is Paula's phone number?
Wie ist deine Nummer?	What is your number?
Hallo, hast du ein Handy?	Hello, do you have a phone?
Kannst du das bitte wiederholen?	Can you please repeat that?
Wie heißt das auf Deutsch?	How do you say that in German?
Können Sie das bitte an die Tafel schreiben?	Can you please write that on the board?
Entschuldigung, wie heißt das auf Deutsch?	Excuse me, how do you say that in German?
Guten Morgen, meine Freunde.	Good morning, my friends.
Entschuldigung, wo ist Berlin, die Stadt?	Excuse me, where is Berlin, the city?
Haben sie Fragen?	Have you questions?
Entschuldigung, ich habe eine Frage.	Excuse me, I have a question.
Ja, ich habe Fragen.	Yes, I have questions.
Guten Tag, wie ist Ihr Name?	Good day, what is your name?
Woher kommst du?	Where you come from?
Guten Morgen, ich heiße Jürgen und ich komme aus Brasilien.	Good morning, I am called Jurgen and I come from Brazil.
Hallo, ich spreche Chinesisch und Englisch.	Hello, I speak Chinese and English.
Hallo, mein Name ist Paula und ich spreche Französisch und Englisch.	Hello, my name is Paula and I speak French and English.
Welche Sprachen sprichst du, Paula?	Which languages you speak, Paula?
Meine Muttersprache ist Chinesisch und ich spreche vier Sprachen.	My mother language is Chinese and I speak four languages.
Vier Sprachen? Das ist toll!	Four languages? That is fantastic!
Ich komme aus Brasilien, aber ich wohne in Deutschland.	I come from Brazil, but I live in Germany.
Wo wohnen Sie?	Where you live?
Hallo! Ich wohne in Singapur und ich spreche vier Sprachen.	Hello! I live in Singapore and I speak four languages.
Er kommt aus der Schweiz, aber er wohnt in Deutschland.	He comes from Switzerland, but he lives in Germany.
Er kommt aus Singapur, aber welche Sprachen spricht er?	He comes from Singapore, but which languages he speaks?
Sprichst du auch Englisch?	You speak English too?
Wo spricht man Deutsch?	Where do they speak German?
Wir kommen aus Deutschland.	We come from Germany.
Übrigens, wer ist das?	By the way, who is that?
Übrigens, wo sind deine Freunde?	By the way, where are your friends?
Übrigens, woher bist du, Francis?	By the way, where you from, Francis?
Auf Wiedersehen, Francis.	Goodbye, Francis.
Ist das deine Handynummer?	Is that your phone number?
Francis, wie geht es dir?	Francis, how are you?
Mir geht's gut, danke.	I am good, thanks.
Mir geht's sehr gut.	I am very good.
Es geht mir gut. Und du?	I am good. And you?
Übrigens, wie geht es dir?	By the way, how are you?
Mir geht's schlecht.	I am feeling very bad.
Sie liebt Orangensaft.	She loves orange juice.
Wir sind die Sieger!	We are the winners!
Das ist der Marathon durch Berlin.	That is the marathon through Berlin.
Wir siegen der Marathon.	We win the marathon.
Die Distanz ist sehr lang.	The distance is very long.
Der Mann und die Frau kochen Spaghetti am der Sonntage.	The man and the woman boil spaghetti on the Sundays.
Wie lang kochen einen Ei?	How long boil an egg?
Das Quiz ist nicht lang.	The quiz is not long.
